run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
69,19,1,second_day,1,0,recluse,depth2,2,Caligo,False,base,duo,5,False,8,40,9,613167,12,13,8,0.5555555555555556,5,0.1951219512195122,47166.692307692305,buff_focused,0.0
70,19,2,final_day,2,0,revenant,depth2,2,Gnoster,False,base,duo,5,False,15,78,13,508408,14,20,15,0.3125,5,0.189873417721519,33893.86666666667,buff_focused,0.0
71,20,1,victory,3,1,revenant,depth2,2,Gladius,False,base,duo,3,True,9,73,17,521366,14,12,12,0.3,4,0.12162162162162163,34757.73333333333,high_risk_castle,0.0
72,20,2,victory,3,1,recluse,depth2,2,Adel,False,base,duo,3,True,11,75,12,591782,15,14,14,0.25,4,0.14473684210526316,36986.375,high_risk_castle,1.0
73,21,1,final_day,2,0,recluse,depth2,2,Gladius,True,base,duo,4,True,11,74,6,583128,15,15,14,0.3333333333333333,5,0.14666666666666667,36445.5,high_risk_castle,0.0
74,22,1,victory,3,1,revenant,depth2,2,Caligo,False,base,duo,6,True,13,123,13,558046,14,19,16,0.42857142857142855,7,0.10483870967741936,37203.066666666666,buff_focused,0.0
75,23,1,final_day,2,0,wylder,depth2,2,Heolstor,False,base,duo,6,True,12,74,11,616748,15,18,15,0.46153846153846156,7,0.16,38546.75,buff_focused,0.0
76,24,1,victory,3,1,wylder,depth2,2,Gladius,False,rotted_woods,duo,3,False,12,101,10,586161,15,15,12,0.23076923076923078,3,0.11764705882352941,36635.0625,loot_focused,0.0
77,24,2,first_day,0,0,recluse,depth3,3,Heolstor,False,base,duo,1,False,1,19,4,41132,4,2,1,0.5,1,0.05,8226.4,speedrun,1.0
78,25,1,second_day,1,0,revenant,depth2,2,Adel,False,base,duo,3,True,8,79,12,338120,11,11,11,0.3333333333333333,4,0.1,28176.666666666668,high_risk_castle,0.0
