run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes,run_outcome_ordinal,difficulty_ordinal,victory_binary,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,enemies_per_level,session_id,cumulative_wins_in_session,win_rate_so_far_in_session,prev_run_outcome_ordinal,after_victory,strategy_type
70,2,revenant,depth2,Gnoster,False,base,final_day,5,False,15,78,duo,13,508408,14,,2,2,0,20,15,0.3125,5,0.189873417721519,33893.86666666667,5.2,19,0,0.0,1.0,0.0,buff_focused
71,1,revenant,depth2,Gladius,False,base,victory,3,True,9,73,duo,17,521366,14,,3,2,1,12,12,0.3,4,0.12162162162162163,34757.73333333333,4.866666666666666,20,1,1.0,,0.0,high_risk_castle
72,2,recluse,depth2,Adel,False,base,victory,3,True,11,75,duo,12,591782,15,,3,2,1,14,14,0.25,4,0.14473684210526316,36986.375,4.6875,20,2,1.0,3.0,1.0,high_risk_castle
73,1,recluse,depth2,Gladius,True,base,final_day,4,True,11,74,duo,6,583128,15,,2,2,0,15,14,0.3333333333333333,5,0.14666666666666667,36445.5,4.625,21,0,0.0,,0.0,high_risk_castle
74,1,revenant,depth2,Caligo,False,base,victory,6,True,13,123,duo,13,558046,14,,3,2,1,19,16,0.42857142857142855,7,0.10483870967741936,37203.066666666666,8.2,22,1,1.0,,0.0,buff_focused
75,1,wylder,depth2,Heolstor,False,base,final_day,6,True,12,74,duo,11,616748,15,,2,2,0,18,15,0.46153846153846156,7,0.16,38546.75,4.625,23,0,0.0,,0.0,buff_focused
76,1,wylder,depth2,Gladius,False,rotted_woods,victory,3,False,12,101,duo,10,586161,15,,3,2,1,15,12,0.23076923076923078,3,0.11764705882352941,36635.0625,6.3125,24,1,1.0,,0.0,loot_focused
77,2,recluse,depth3,Heolstor,False,base,first_day,1,False,1,19,duo,4,41132,4,,0,3,0,2,1,0.5,1,0.05,8226.4,3.8,24,1,0.5,3.0,1.0,speedrun
78,1,revenant,depth2,Adel,False,base,second_day,3,True,8,79,duo,12,338120,11,,1,2,0,11,11,0.3333333333333333,4,0.1,28176.666666666668,6.583333333333333,25,0,0.0,,0.0,high_risk_castle
79,2,wylder,depth2,Gnoster,True,base,final_day,3,True,11,70,duo,8,601816,15,,2,2,0,14,14,0.25,4,0.15492957746478872,37613.5,4.375,25,0,0.0,1.0,0.0,high_risk_castle
80,3,wylder,depth2,Fulghor,True,base,victory,5,True,14,62,trio,24,700032,12,,3,2,1,19,17,0.3333333333333333,6,0.2222222222222222,53848.61538461538,4.769230769230769,25,1,0.3333333333333333,2.0,0.0,buff_focused
81,4,wylder,depth2,Adel,False,base,victory,6,False,15,78,trio,23,511559,14,,3,2,1,21,15,0.375,6,0.189873417721519,34103.933333333334,5.2,25,2,0.5,3.0,1.0,buff_focused
82,5,recluse,depth2,Gladius,False,base,final_day,3,True,12,89,trio,24,453634,13,,2,2,0,15,15,0.23076923076923078,4,0.13333333333333333,32402.428571428572,6.357142857142857,25,2,0.4,3.0,1.0,loot_focused
83,1,revenant,depth3,Caligo,False,mountaintop,final_day,3,True,8,91,duo,16,613759,12,,2,3,0,11,11,0.3333333333333333,4,0.08695652173913043,47212.230769230766,7.0,26,0,0.0,,0.0,high_risk_castle
84,2,wylder,depth3,Fulghor,False,base,final_day,3,True,11,78,duo,16,647976,12,,2,3,0,14,14,0.25,4,0.13924050632911392,49844.307692307695,6.0,26,0,0.0,2.0,0.0,high_risk_castle
85,1,guardian,depth2,Gladius,False,base,victory,5,True,15,68,duo,15,647345,15,,3,2,1,20,18,0.3125,6,0.21739130434782608,40459.0625,4.25,27,1,1.0,,0.0,buff_focused
86,2,recluse,depth3,Adel,True,base,final_day,6,False,12,62,duo,11,623517,15,,2,3,0,18,12,0.46153846153846156,6,0.19047619047619047,38969.8125,3.875,27,1,0.5,3.0,1.0,buff_focused
87,3,recluse,depth2,Heolstor,False,base,first_day,2,False,2,22,duo,5,128954,7,,0,2,0,4,2,0.6666666666666666,2,0.08695652173913043,16119.25,2.75,27,1,0.3333333333333333,2.0,0.0,speedrun
88,4,recluse,depth2,Heolstor,False,base,first_day,1,True,3,34,trio,2,164840,8,,0,2,0,4,6,0.25,2,0.08571428571428572,18315.555555555555,3.7777777777777777,27,1,0.25,0.0,0.0,high_risk_castle
89,1,guardian,depth2,Adel,False,base,victory,6,True,13,59,duo,13,626645,15,,3,2,1,19,16,0.42857142857142855,7,0.21666666666666667,39165.3125,3.6875,28,1,1.0,,0.0,buff_focused
90,2,wylder,depth2,Adel,False,base,first_day,1,False,3,42,duo,3,192369,8,,0,2,0,4,3,0.25,1,0.06976744186046512,21374.333333333332,4.666666666666667,28,1,0.5,3.0,1.0,speedrun
